sentence_id	sentence	sentence_domain	source
118b1afdc476ad6a16d7e9821fc96a0e65eaf27f4a702c61e69bf154c74e140b	Самое сильное сожаление вызывает у нас чрезмерная и ничем 		самоцитирование
120b0c8be0df8723c4f815cab8a127f6a50517809d059ab3f02a1996f90e320a	которые должны путешествовать на большие расстояния.		самоцитирование
131f123a32c3747d3b682c240b2216952f4add0c821b2c6e905599afa374eb36	Очутилась она во дворце зверя лесного, чуда морского, во палатах высокиих, каменных.		Сказка С. Аксакова
155286336df9eee1338ed66fa999bb15da74eaf5d9894db3d7cdcfaa94905312	Растрескивание верифицирует интеракционизм.		самоцитирование
156faaf622648f26532bada9d7f44dd5d65c191090d2c3f343d431d8a5134655	Оскуола диэн сүрдээх үрдүк баҕайы бүтүннүү кумааҕы дьиэ эбит.		Х
1629e6728a8c6186e71113b3d61c21d06d67d8370930ddab9107a70aa75a020d	Перад тым, як апублікаваць вынікі сваёй працы, Замэнгоф доўга выпрабоўваў усе элемэнты	history_law_government	https://be-tarask.wikipedia.org/wiki/%D0%AD%D1%81%D0%BF%D1%8D%D1%80%D0%B0%D0%BD%D1%82%D0%B0
181334c506020dc9631827376d23e0bad77091c6acb3c0232e3ea6c5d1bd5b96	что никому не нужно, оно вчера никому не нужно		самоцитирование
1825b6135ed4b53ddb80551a81cc72604c2a5bbe9bc090e8da3faafcab8e5d2f	какое жизнь разбросала вокруг. 		самоцитирование
183b19440302426b59dd97aeab1310576b52d8786c683d6d10826703ac75bd5c	Нижнее течение фактически развивает определитель системы линейных уравнений. 		самоцитирование
18e8c7e014baaf3a67b0d91edbc917fd82335b7d2678865d36787aa15703a1d5	по бесконечной области - все дальнейшее далеко выходит за рамки текущего исследования 		самоцитирование
193979397143df62aa88906d33349dcb43487b2558e5957bb05bdb0514ac1540	Тяга ионного двигателя очень слабая, гораздо слабее, чем у ракетных двигателей. Но у него 		самоцитирование
1c8d7eacd58aedb3e11b3bef0297dfb26e71bfd4f6ca9c6d217f156dd1fd1d43	«Чээн да биһикки үөрэнэ барыах», - дии-дии,хаайда. 		Х
1cc8713471b5f6d48ea4c9a2f8d996400e6167ad6fe591476913aa711a7ed944	Волокно диазотирует знак. 		самоцитирование
1d158641e7a70729dc32ef5cd427e4cbe260916e26e518acab76572dd2adf255	показаться волшебством. Представьте себе, что у вас есть воздушный шарик, наполненный крошечными, невидимыми глазу 		самоцитирование
1d3fbfc20de1af583e6df70d0370ec441216b7168469e177bb41f1e5ab3aa2e3	Расчеты предсказывают, что вещество иссушает капилляр до полного прекращения вращения		самоцитирование
1dac0fb411d1ab5b342f0240a799b8926e5163c918d4bdfa25c174b80aca1e0c	Его войско встало лагерем перед замком.		Самоцитирование
1e143691d2b66aced54739cd09866d4483914c6cd6275b0798ee37fc260f985c	и я поехал вниз, расставив руки и ноги		самоцитирование
1e66907b4f79abed96212644a80e5d2b4904117d062cffc078779d2485a407f5	я чуть не умер от хохота, однако не умер и чуть не упал. 		самоцитирование
1f3a1e3476c5e498a957079b57cf078f4bbb51d61f6c537fb69d7059aa147608	косвенная реклама иллюстрирует Юпитер. 		самоцитирование
1fca989ccfa62568e013d43f6d60b73a9aba0ea10ac88f436045ac5de9be669b	Феномен толпы даёт большую проекцию на оси, чем денситомер. 		самоцитирование
200873f8ca6827d02f5a9d4d04405885612973685c0e79c6e3229eb156df6bd8	который, согласно пророчеству, должен освободить их от тирании Колдуньи.		самоцитирование
2083518070887c07cea9c4ae3711d2a5cd4f906f71ec6518080de80bbc08aaae	Аксиома, на первый взгляд, изящно не зависит от скорости вращения внутреннего кольца подвеса		самоцитирование
2090c9bccb12830cab7b962b0b989a04c11783c4c40f25a35e2755e05534cb03	можно импортировать персонажей из первой части игры.		самоцитирование
23c241352c551fb2b00785acc3cc417767db048e1b9a1d199a47150edc2d3426	темным лордом ситхов		самоцитирование
23fa973f00f7695396aad9f963aac046e628b7d9d277096ed9839992a9764898	Эта еда могла утолить законный голод, 		самоцитирование
24424d8591e1cf03994da567f63f2ec7b01c5f61b0ff7d2f26e5ea1d47f67cad	Кристалл позволяет исключить из рассмотрения эстуарий. 		самоцитирование
249566180507edc630d812f543ac63d637a1615ec2d9f8601c57c0d70251d1b7	Референдум, несмотря на внешние воздействия, реально переоткладывает генезис. 		самоцитирование
24a7d979f2fef11dee867b7e1b945bc378896ebba91286ceccd3c0489c29eaa1	яяяя		аыаы
2599cae483ced1eb8440f6693b9314aa836bc25ff837c8855de22a1d70e20456	Как легко получить из самых общих соображений, мышление композиционно		самоцитирование
28c121616992894d807d23daa27e77da1575db8c9229307b727c7c118821c196	ионы с помощью электричества. Затем эти ионы ускоряются мощным электрическим полем и выталкиваются 		самоцитирование
2a705cd450a7fc93cac2beedb2e9d6ae8c579dd7bf93db5b77b7e834dccf9731	я толькі словы, але й структуру мовы	history_law_government	https://be-tarask.wikipedia.org/wiki/%D0%AD%D1%81%D0%BF%D1%8D%D1%80%D0%B0%D0%BD%D1%82%D0%B0
2a9178fe0ea9a7c332ce17348603e0e36d3bdb79fbe7f1eeb0c4b0fd6513ec11	Рефинансирование, как бы это ни казалось парадоксальным, образует знак.		самоцитирование
2b6dcea69ffaf590c4c928585fe9c27afecd7f7373597069bd3b8bbe6b454815	что даже самые маленькие из нас могут сыграть большую роль в борьбе за то		самоцитирование
2c1653e30883c2dc05435b955f8b101f2391ff4e116a205a6fc0b8a742e704f1	что закон многопланово требует зеркальный одиннадцатисложник. 		самоцитирование
2c46486f7a611cf536c89a61e94cd4faf36615e7137e6de30f12fbf763bf0b01	Интерпретация всех изложенных ниже наблюдений предполагает		самоцитирование
2ca5dcc5c774a8ce8dd2e695e736c623427b8588c2ee03f989a39e265840fcb4	победы и завоевания римских цезарей гораздо меньше шевелили ее воображение		самоцитирование
2da5046686d572611c1fa6490c4cf222c36896ad8dc598665978de8f18f308b9	Газопылевое облако иллюстрирует натуральный логарифм. 		самоцитирование
3174089d05ca2d79427e09fc3159195dda49f96275bdbf1061031cb90db73845	Интересно отметить, что проекция абсолютной угловой скорости на оси системы координат		самоцитирование
324c9cdd26e592498fa784446d359560f3f7ec1fee041e10cbec5033073bee99	Наряду с этим очаг многовекового орошаемого земледелия методологически формирует параметр Родинга-Гамильтона. 		самоцитирование
327dfc49de81713b5bdca67c108ce4f38c91bc76781505ee3ba242381f703345	Оттон миэхэ сатаатар хоруо,тымтык баҕалаах»,-дии-дии,сык-сык ытаата.		Х
3328a95b3855a47aa2e739046211cd14345757f1ac3175a3c0f4c12ad3ee16d1	Самость вероятна. 		самоцитирование
334398fe582f2fb263fb4ceaf423ceafb74997490a6b3fa53f074fd0fbd35cbe	Этот концепт элиминирует концепт «нормального», однако кластерное вибрато адсорбирует неоднозначный дискурс. 		самоцитирование
339858f9bf430111cd2a3e3a5dd9600b4b97b3b337498fe316bfe9a471cab04a	Парижане думали об этом не больше, чем о том, чтобы 		самоцитирование
34c3ca864f76048670eb2b77ef02b074839a5494ade371969081323203fcbae0	если непосредственное наблюдение этого явления затруднительно. 		самоцитирование
3537599907a801c8472e89f20729ff294cf7f29e37237196584131e9879f00f6	Ньукуус быйыл аҕыһын ырҕаччы туолла		Хараҥаҕа тыкпыт сырдык
3538167aac28ae5186d3307b9d8040d9704e6f82f8155a975be3dcf54e19787a	Вулканическое стекло, в первом приближении, изящно упорядочивает конвергентный доиндустриальный тип политической культуры. 		самоцитирование
357be9418268f1b40c8996ae571327cf95bae1a6c91c7a9add75fde541c732b9	Гносеология многообразна.		самоцитирование
3594c8d563cd1d0b454d21536b13bcfebdf4d154409bdf8ddd3a2f2b820886ca	чего способно добиться богатство в создании несуразностей, 		самоцитирование
3690b7b7cc521dd2b7f22fb70954e545f376aef194db9ff4577089d684609f9b	Эспэранта таксама зазнала шэраг рэформаў, расколаў.	history_law_government	https://be.wikipedia.org/wiki/%D0%A7%D1%83%D0%B2%D0%B0%D1%88%D1%8B%D1%8F
37540af2ceecfb1fad9942470ca1cc1eef874d99c4fa69fbceae0b1eb64fc49e	Граматыку эспэранта магчыма выкласьці ў выглядзе шаснаццаці правілаў без выключэньняў 	history_law_government	https://be-tarask.wikipedia.org/wiki/%D0%AD%D1%81%D0%BF%D1%8D%D1%80%D0%B0%D0%BD%D1%82%D0%B0
3892e257e7975bf44078246af32f3fadd3128c6fafa252797801df9b92452bb0	привет , это мадина	finance	инертент
38ceae2282f3fdc0300803f7a36b0831b8970dcb7c6f475d90b7939fc754793d	А Ахматовой не укладывается в привычные литературные роды.		https://hf.co/datasets/nyuuzyou/chatgpt-in-russia-qa
38e4176bed426f167c17ab8ea52c94f3ead88c5d512f7bd08666da31106b4141	в зеркало смотрятся и люди говорят. 		самоцитирование
3b2d53d237647c03297ba10c049523bde675d37e61ae5a7d49ec72d31694b9e0	Магнит имеет брахикаталектический стих. 		самоцитирование
3b6e1c48a1223c5c9d4fa6edebcfbe677ffcdc7ba4d745d0b850a131a2872977	Договор выстраивает газообразный флажолет. 		самоцитирование
3c1f6c0727768bb1ca9c6175e97769d9e0b5d6acb0ce67f609e9206ee6949849	я не решаюсь назвать, дать ему прекрасное и торжественное имя – грусть. 		самоцитирование
3c3246ce17c54a1719a8a6433a2ddb0143c38ca95848f795d8ebcf6ec3ae29bc	Ионные двигатели - это не только будущее космических путешествий, но и настоящее. Они уже 		самоцитирование
3c5676ed945c8370157ef1c2f990e6dba783f974427882f0391aa0222a47bf7d	Впрочем, пора прекратить эту литанию обид. 		самоцитирование
3ce37c412cc770b08b4c2b4f595e10fe52b1e8d4e407f83aaa7a4e2eef17d6c4	Воздухосодержание, как бы это ни казалось симбиотичным, отражает авторский разрыв функции, как и предполагалось. 		самоцитирование
3ece26e6a820e5d18f220d7fbc9944cd2dfcfcdf423ef88d0b87a653f03102b1	А когда я увидел, что один пингвин не зажигается		самоцитирование
3efc4e9dbb84f7f2f7e4f3714e6b4482b0392db339a7a174236baa580f275dc8	Удмурты — фіна-угорскі народ, які пражывае ва Удмурцкай Рэспубліцы, а таксама ў суседніх рэгіёнах. 	history_law_government	https://be.wikipedia.org/wiki/%D0%A3%D0%B4%D0%BC%D1%83%D1%80%D1%82%D1%8B
3ff30ce1e11208858e6420acb53e6039ae62cff9a359af1a6370863c5a29ae79	и в конце концов противостоит самому Дарту Вейдеру.		самоцитирование
40ec0590a6e46a69f84742706f60e86a21b7b99b315b7ca520f79e814aab84cd	таким образом бхутавада поступательно представляет собой катионит		самоцитирование
411d46ddc1ff6fb6e1c372ef934c5eb5570d16cb2953dd8df9072a7686bf7ecb	Она опаздала на вокзал и пришлось отложить поездку		Сам придумал
412a84007fd095613bb84ff6f8a1ae7bff295f437d5aa9ed216956f4cf91db64	Стиль вызывает катионит. 		самоцитирование
4291c21165b51fca91cbf4885e25555d818d94207a44db4422f30db374e4c582	Питер, как старший, берет на себя роль лидера и становится Верховным королем Нарнии. 		самоцитирование
4336bc74995953e408e0a823940c9435df0dbdbe05c8107d4a1809f6d9cb0dfa	Комета Хейла-Боппа непосредственно начинает культурный дрейф континентов даже в том случае		самоцитирование
443c650b587c2ff3f6f97178da7b744e0ec555fa899055b726647f84fa91ff2f	принять в профессора ученую обезьяну. 		самоцитирование
45adc73f4c7234ef76de645ca2d17e5213667ee8342efc2daaca07222279a0e3	У сыстэме эспэранта-дзеяслову тры часы	history_law_government	https://be-tarask.wikipedia.org/wiki/%D0%AD%D1%81%D0%BF%D1%8D%D1%80%D0%B0%D0%BD%D1%82%D0%B0
45e954a403b7b8fbb6aac41966d65899e889de612f371fca05bd38a2769a226c	Складчатость и надвигание свидетельствуют о том, что максимальное отклонение поддерживает комплексный осциллятор, 		самоцитирование
46e16b8f38a93f53368726fe9fe87dc7307dfcd69b88fc4ae2c110f94ae48065	Киэһэ дьоно хотонтон тахсыбыттарын кэннэ аҕата киирэн кэллэ.		Х
4764aa8331b9daaf5c2d75bb0237afef6efa3acd8a3b34de791e57a5ff913e59	Привет чат как дела?		Абоба
4867f3d18376ba63a5f52fc282dc70a24f53dd3a19683da1e57ae2027587bebb	Формула многопланово облучает ионный ташет. 		самоцитирование
48d7bc57d56fb44137e6b095d84ef71d8f21b92cbdbf39211c4cd7d391b02f10	Старшая, Вера, пошла в мать, красавицу англичанку, 		самоцитирование
48edea0efd7445f59490c11bad08da4683e8a8d0f0c370e6e5153744c3ce8de8	называем букетом, чем-либо иным, кроме как вульгарным убиением цветов, 		самоцитирование
4917186d19351618427057c02275cfa9f220d3e85ba164c51428e28905f4ca46	Гос. службы не провели надлежащим образом свою работу.		Самоцитирование
49b670bf4e806a31f9dd76cb5b8eaa151669e08b1bfb43f97b37dee02d2070f0	но Наташа, хлопотавшая за всех, отстала.		самоцитирование
49d2e90867a37c4b43d6865d510c760feba523f5b0e6f8b8791f780080d2e425	Ону Ньукуус букатын өйдөөн истибэккэ,аахайбакка олордо.		Х
4a65e231b3113c7ebfe5bfcb41fcb6b18d3cfd9c98a2a052cc2757d322386971	Декодирование дает твердый соноропериод. 		самоцитирование
4a69cd5f880d1e7d9adf9d927ac89b0b6a2b5fcb58a8590a40893f40d7b818d0	Соноропериод отталкивает диссонансный комплекс. 		самоцитирование
4b1017c70fc726e4aa0d8f048bca696462a8272416324a89c06732101f9526aa	гребных винтов. Эти корабли оснащены ионными двигателями, которые работают по принципу, который может 		самоцитирование
4b808e4c21de613e3148cd2e935d76851089306f71bb1edbdfddb1e414b475a7	Джулия и Майкл на торцовых концах, 		самоцитирование
4bb0197956ece57860becfd218433eed754ecc360e2288ea6f60af4f8733f448	Апперцепция, тем более в условиях социально-экономического кризиса		самоцитирование
4c11042f54d1ee736b61d00367a1d8778739379ef40bb4a593df843846a09cbe	Уже давно люди хотят заработать не за то		самоцитирование
4c68f2a45cf19ffbf990cc79fd8bf60bfbbc9b4bf857dfeb3bfb3cb55646c994	Дьааһык муҥунан арыыны, алаадьыны симнэ		Х
4e2fe71e7e0ccf2cd67e3842f02423fdc5fa1ebad29c11a7f898fdc553bc9289	преследовавшей его до конца жизни. 		самоцитирование
4e9c6d7287e6d90931159f46008d0eb71be536602340e1d32716497a46501509	Интернет вещей внедрялся в умные города, оптимизируя управление инфраструктурой.		самоцитирование
5130aa58a99050d737055254d8a4dbce3ea8038cefe83a2162e1212f1fe50a53	Далеко-далеко, за пределами нашей планеты, в бескрайнем океане космоса, летают удивительные корабли. Они 		самоцитирование
516e44b97e060dc45f500d7a0ca3b1c719c232f798fbefcfdb4a2908167d0467	как уже вянет лето – то невозвратное лето		самоцитирование
51ec1e7f868d06d0905a61c0c18a34991f66cc2fd65fdfb52cacd1f7f2c63582	Торгаши скинулись на Мавики для добровольцев.		Самоцитирование
51ee0fa052c3d4d7c4e60589c0cdf79088d7fb80510431fe6f7cb16d9e5e4837	чем жизнь на захолустной планете Татуин. 		самоцитирование
52356f2eb5b4783649d5dcdd8e72edc57e8b5c1db6d86728c923decca9ca39d3	она, мама, Соня – были одеты как нельзя лучше. 		самоцитирование
52c3a7541ce08ece8b79fd46cb1e0e4eb860b75ee9179558402ed1b756b0c04a	Волна диазотирует юридический экспрессионизм. 		самоцитирование
55a60eadf9c9bee0793ff779f901c67e4b18ea15eb0fa205688fa84764eaf9c6	Никто не может сделать тебя почувствовать себя хуже без твоего согласия		??????? ????????
560cc366f4ce882a6d5b91e6ea666e9df514328dd94941edff59fa1c9f472f04	Αυτοαναφορά		Самоцитирование
56fc18cb779cbc9c785f4b4ffde1c5ab092e58a52112ec6fbe78a14074a59e91	Я устоял, выделывая антраша, и ввалился в метро		самоцитирование
58f5ccc2f8a07e388f5e785dc37d5644bb24212849d4653319c6604434332270	Зчеи нам такой мир, в котором не будет России!		????????? ?????
595663225c9b86de1db294d945030f49086563743c852aae1f63a62fb1669149	Неорганическое соединение притягивает короткоживущий христианско-демократический национализм. 		самоцитирование
59a7e39d0ac3284b91b8a31bebac60d42f34dfe38b79096de8382e040d26fa99	Будуючы мову, Замэнгоф выбраў зь вядомых яму моваў найбольш агульныя, карысныя ўласьцівасьці	history_law_government	https://be-tarask.wikipedia.org/wiki/%D0%AD%D1%81%D0%BF%D1%8D%D1%80%D0%B0%D0%BD%D1%82%D0%B0
5a497c9d02904a540f443358939399e7fc5a2359f9b636fed15278ef5e09d546	чтобы спасти Эдмунда от гнева Колдуньи. 		самоцитирование
5a9f125cd2f11947de33047c202a779d5171217d9b60d2530829db227db8975b	Время нет - есть несерьезный подход к делу.		???????????????.
5ae9f01af2425662e9db3156a1426fd4e3f84f9a21f4789b58f5eb9bcc3c704d	Сернистый газ, куда входят Пик-Дистрикт, Сноудония и другие многочисленные 		самоцитирование
5af4758e61a1f40ebdfc41c8db8353fdb5444f78f6b64ebeeb783b98f3541728	пися попа кака пись пись 		?
5af9907c62130c8f865c1a879532bf6a216d9c69b07ca8e429c7c4c687f08e84	баунти сникерс мандарин кабачок манго авокадо лимон куриное яйцо свёкла кокос	service_retail	10 с эти вещами
5d5cda58a9b5bab41ea0998d568d8c470722bfb3d0d5a1116a98822e8dc935a9	когда именно установившийся режим категорически трансформирует маркетинг. 		самоцитирование
5d65ba04b1f6e5269035da71e09ecbfeb670f8ff3a29527de9ebe0d5c069bd85	Я бип бип		.
5d9ce6e6518e8ae1ec83aee396976ce4af05538b75a30adeb36257032b38d23d	вцепившись в поручни, и навстречу мне, снизу		самоцитирование
5ef5567f1a3a370007c09583aa26c88e477ba35e04d2b422459b52f7bde5dcb0	и Гошка ящерицей стал уходить в бурьян и успел 		самоцитирование
5f3934f057d484beba6d151b0bab4e8239c685625afa890846071b87ba6c731d	обуты уже были шелковые, ажурные чулки и белые атласные башмаки с бантиками		самоцитирование
5f4111a23de0e545b478e44c7a2bf22bcac7202cba1845c99b15ed4bb368911d	Еврокомиссия бүгүн Кытайдын электроунаалары үчүн бажы бекетинде төлөнүүчү алым өлчөмүн жогорулатууга байланыштуу добуш берди	technology_robotics,news_current_affairs,media_entertainment	https://www.azattyk.org/a/33146573.html
6098f258ef072df0e23e93805122c993d3ce1b4799b2119aeb6779175b453998	раматычнай катэгорыі роду ў эспэранта няма. 	history_law_government	https://be-tarask.wikipedia.org/wiki/%D0%AD%D1%81%D0%BF%D1%8D%D1%80%D0%B0%D0%BD%D1%82%D0%B0
60b2ac307376f14cc6a35809c53834e2260f4f490aaed5fc014361229d8947d7	Она так живо вызвала в своем воображении казнь Иоанна Гуса		самоцитирование
611442c41d8616c9828fcd7c7af8cddcff0ffe4f072ce2289af054b9e36b26ea	Акцентируется не красота садовой дорожки, а плотностная компонентная форма реально 		самоцитирование
617939d91dbe1f816680957bb378e1c807914142742adfab45077eb94e9275d1	словно не совсем понимал, что там лежит, затем, 		самоцитирование
61ee0a909d0440696c93a86542dee4a14ea1507c428147df578160535fad2584	в том самом августе, и что с того самого августа есть бомба		самоцитирование
6294a7aca858c97586f70ac929c3223ad54b5d1548b9cfe447d8fd434e3e0b3a	двигателем. Благодаря этому двигателю, смог совершить 		самоцитирование
62c05a447a83c13ece727726c92596c217019b5e5a8a4bd5a0ddb356ba9dedf3	У сынтаксісе асобных прыназоўнікаў і злучнікаў захоўваецца славянскі ўплыў	history_law_government	https://be-tarask.wikipedia.org/wiki/%D0%AD%D1%81%D0%BF%D1%8D%D1%80%D0%B0%D0%BD%D1%82%D0%B0
62dcd2fc4ba8956d1e6b1e02163957fe0108f7ec6c9bb86a7f6025ab38343139	но гармонирующем с прочей мебелью стуле. 		самоцитирование
63b327b2d095a80744cac2c9d2376ffd5b9fd64bf4fb18f73d8ef947659c45b2	какую можно видеть на старинных миниатюрах. 		самоцитирование
64de36325de75c1b68bd2355c75dc94b09df2d9b9686232d3014354ea9ef11a9	что плакала и молилась всю ночь до утра. 		самоцитирование
64e81edbf0ed41ab4f1cd05b3852c82b12d0719c523ca95901476f06c9af7708	Онтон туох эрэ ый кэлтэкэтин курдугу оҥорон баран.		Х
64fe6baa43b29435797f7a2deca25207daadbb3ec0d63ced4ade23c1b4f07095	следовательно первая производная модифицирует аутизм. 		самоцитирование
65b3aaae0168702f1f285b0186613120fad2c221854ce7130823f7c40ff20132	… это усугубляется влиянием омерзительной диктатуры, принадлежащей к эпохе, когда роман писался…  		 http://nabokov-lit.ru/nabokov/proza/dar/dar-1.htm
6644fa4eb345ec34315adf5da31fe4aff43c3b6a00297e50db4e42559a8387e6	при эфоре Питии и афинском архонте Каллии		самоцитирование
67032f86547a48d4ce090a4743507a55a023113fc177e6350613e34bd81536ea	Она обожала Жанну дАрк и иногда находила в ее образе 		самоцитирование
67b927d61a525246ed75d0dc8e74d66a09235bdd450fcacde0a7b34489ce1eaa	установку и тончайшие манипуляции, – и поэтому я не могу 		самоцитирование
6852da4274359a74ec8ec16cdbc1160b41046d232fc7e3bdce50761bca22929f	Негры негры негры негры негры негры негры негры негры негры		Негры
6952c11fb2b48e83ec663cc9a850e299c42779fec67845f1a13c212f8cbcf73d	????? ?????		???????????????
6b93d580ff2caed97a4fef2aaf2c68e0eb61f055be0fcb2b20e323d528442954	 У Чувашыі пражывае прыкладна палова ўсіх чувашоў, якія жывуць у Расіі	history_law_government	https://be.wikipedia.org/wiki/%D0%A7%D1%83%D0%B2%D0%B0%D1%88%D1%8B
6ee5a9cab032260f565642a2aefdd4d27e90c4c64cf5ef99c1b723415a030d92	шелковых чехлах с розанами в корсаже. 		самоцитирование
7016d9bce9749d21e7d601a865fed59abd4abea0b6bf6f4f228e0ec5bba91473	Замэнгоф нарадзіўся і правёў дзяцінства ў Беластоку — шматнацыянальным месьце	history_law_government	https://be-tarask.wikipedia.org/wiki/%D0%AD%D1%81%D0%BF%D1%8D%D1%80%D0%B0%D0%BD%D1%82%D0%B0
717d6afabf1571c266e2601a972a69c1d2502e56b4c472b14c0fad5eb542db73	А., адрес ее регистрации или места жительства, номер домашнего телефона, который будет подлежать прослушиванию.		https://hf.co/datasets/nyuuzyou/chatgpt-in-russia-qa
764c749f45d32707f3995e172f2d6ed552bbfe51923a042fd3a51e3b6cf81c74	Потому что если заработок идет за то		самоцитирование
7f96cb4e919db43aa8c8ceaca66b2184429807cf9a6d9ed5ad08e94bc6ceca9d	которая может однажды остановить жизнь. 		самоцитирование
81adcdcf2314e11f40e0cbf095bec0d6ef8486d0f04483bd50db53cefb0b3e2e	Таксама, ёсьць суфіксы, якія дазваляюць утвараць ад назваў рэчаў і рэчываў назвы ёмістасьцяў	history_law_government	https://be-tarask.wikipedia.org/wiki/%D0%AD%D1%81%D0%BF%D1%8D%D1%80%D0%B0%D0%BD%D1%82%D0%B0
82fb7930d4e9d8785152f7c70d0858e3cfe7e514a3cdef852c8cc53512b99053	Закон один найсильніша смертна сила 		Закон 1 все крутиться навколо вас
83d2cf43c150858f6cc2cce0377e8ac793489b915f09176d646eefdcc5fe9fd4	Ол үөрэхтэнэн, билигин мин диэки көрбөт даҕаны.		Х
8540e5bf109d14c62cef6b8fc67d841b49584b72e3b8f5b447047442b290a147	Не мог я видеть ни графа		самоцитирование
8556c7c90368721c9be1721cd4292cd798a4f403f1274c6ff43bfa750b5d5ee1	У наш час гэтая мова ўжываецца ў шматлікіх сфэрах чалавечага жыцьця, найперш у турызьме	history_law_government	https://be-tarask.wikipedia.org/wiki/%D0%AD%D1%81%D0%BF%D1%8D%D1%80%D0%B0%D0%BD%D1%82%D0%B0
86da8bedd0e3fd51e2d3d17b4809498d1e0f8d1ab1f53d4e423f1a4f03ca1d46	Сорохторо харандааһынан хабылык хапсаллар.		Х
871eb5ffa26bc196ee67237f950f7f96b2717fc72e61539794eea389230f45f2	… требования его собственной профессии не позволили ему продолжать работу 		http://nabokov-lit.ru/nabokov/proza/dar/dar-1.htm
880885fff01b4f2d9f11eec4cb3277084f3566a0fb4b12df1bb9ec3e7cec32b0	Маҥан таба тыһа этэрбэс оҥордо		Х
88799476211310c0896415bf39fa58b67efc01c1b6374a7475a525c064b890ea	Ол суулларарын аҕай кытта чабычахха олорор оҕото ыҥырҕаан кэллэ.		Х
88e9500faf0f20e5769ea808de329d9000262f66b01d116f6749b8db6e6f52e4	которого он никогда не знал и о чьем существовании 		самоцитирование
89c5e8aeafef65ed083d2ab9482d30f2a1c2d7210f9e3070a07ba014c9b4ddc2	Асалом, такдими роботи Мбот, Такдими Акрамов Амир		приветствие при показа презентации
8bdf08d7f1551dc0ffe202c2e8cdb3e667843d7e0b678791d623d9a8a23cb55b	Кожнай літары адпавядае адзін гук	history_law_government	https://be-tarask.wikipedia.org/wiki/%D0%AD%D1%81%D0%BF%D1%8D%D1%80%D0%B0%D0%BD%D1%82%D0%B0
